type,subtype,updated_type,updated_subtype,updated_subsubtype
JAM,Unclassified,,,
ACCIDENT,Unclassified,,,
ROAD_CLOSED,Unclassified,,,
HAZARD,Unclassified,,,
ACCIDENT,ACCIDENT_MAJOR,,,
ACCIDENT,ACCIDENT_MINOR,,,
HAZARD,HAZARD_ON_ROAD,,,
HAZARD,HAZARD_ON_ROAD_CAR_STOPPED,,,
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,,,
HAZARD,HAZARD_ON_ROAD_EMERGENCY_VEHICLE,,,
HAZARD,HAZARD_ON_ROAD_ICE,,,
HAZARD,HAZARD_ON_ROAD_OBJECT,,,
HAZARD,HAZARD_ON_ROAD_POT_HOLE,,,
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,,,
HAZARD,HAZARD_ON_SHOULDER,,,
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,,,
HAZARD,HAZARD_WEATHER,,,
HAZARD,HAZARD_WEATHER_FLOOD,,,
JAM,JAM_HEAVY_TRAFFIC,,,
JAM,JAM_MODERATE_TRAFFIC,,,
JAM,JAM_STAND_STILL_TRAFFIC,,,
ROAD_CLOSED,ROAD_CLOSED_EVENT,,,
HAZARD,HAZARD_ON_ROAD_LANE_CLOSED,,,
HAZARD,HAZARD_WEATHER_FOG,,,
ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,,,
HAZARD,HAZARD_ON_ROAD_ROAD_KILL,,,
HAZARD,HAZARD_ON_SHOULDER_ANIMALS,,,
HAZARD,HAZARD_ON_SHOULDER_MISSING_SIGN,,,
JAM,JAM_LIGHT_TRAFFIC,,,
HAZARD,HAZARD_WEATHER_HEAVY_SNOW,,,
ROAD_CLOSED,ROAD_CLOSED_HAZARD,,,
HAZARD,HAZARD_WEATHER_HAIL,,,
